"Date","Price","Open","High","Low","Vol.","Change %"
"12/28/2007","4,226.76","4,269.06","4,280.73","4,214.69","2.07B","-0.75%"
"12/27/2007","4,258.55","4,191.33","4,258.68","4,160.91","2.26B","1.99%"
"12/26/2007","4,175.56","4,174.77","4,207.16","4,121.61","1.75B","0.32%"
"12/25/2007","4,162.08","4,179.84","4,200.82","4,144.14","1.56B","-0.25%"
"12/24/2007","4,172.44","4,112.52","4,201.85","4,096.67","2.13B","2.24%"
"12/21/2007","4,081.01","4,022.45","4,096.24","4,019.68","1.44B","1.01%"
"12/20/2007","4,040.04","3,971.75","4,050.77","3,942.63","1.22B","2.20%"
"12/19/2007","3,953.05","3,893.22","3,967.67","3,879.71","1.35B","2.70%"
"12/18/2007","3,849.15","3,849.20","3,895.36","3,826.92","872.90M","-0.70%"
"12/17/2007","3,876.14","4,002.99","4,003.26","3,871.47","1.41B","-3.31%"
"12/14/2007","4,008.88","3,901.57","4,010.50","3,881.50","1.16B","1.52%"
"12/13/2007","3,948.74","4,061.42","4,075.67","3,944.81","1.36B","-3.30%"
"12/12/2007","4,083.59","4,130.77","4,132.11","4,049.10","1.54B","-1.82%"
"12/11/2007","4,159.43","4,197.70","4,216.53","4,097.27","1.56B","-0.15%"
"12/10/2007","4,165.86","4,052.38","4,172.17","4,040.56","1.74B","1.06%"
"12/07/2007","4,122.06","4,076.44","4,128.78","4,075.45","995.50M","1.28%"
"12/06/2007","4,070.16","4,085.04","4,094.25","4,037.28","967.90M","-0.02%"
"12/05/2007","4,070.82","3,963.56","4,074.96","3,954.69","1.40B","2.72%"
"12/04/2007","3,963.19","3,921.91","4,018.65","3,921.91","1.08B","1.36%"
"12/03/2007","3,910.13","3,859.85","3,943.50","3,838.49","1.04B","0.77%"
"11/30/2007","3,880.34","3,968.67","3,968.67","3,867.11","1.34B","-2.40%"
"11/29/2007","3,975.71","3,840.39","3,977.89","3,796.25","1.95B","5.06%"
"11/28/2007","3,784.28","3,839.51","3,873.78","3,757.96","1.12B","-1.19%"
"11/27/2007","3,829.73","3,874.77","3,917.55","3,827.41","913.40M","-2.06%"
"11/26/2007","3,910.46","4,020.64","4,038.48","3,904.74","1.06B","-1.29%"
"11/23/2007","3,961.37","3,865.41","3,962.70","3,844.18","967.50M","1.68%"
"11/22/2007","3,895.95","3,988.14","4,039.70","3,881.45","1.24B","-4.15%"
"11/21/2007","4,064.78","4,150.84","4,186.29","4,061.83","1.07B","-1.72%"
"11/20/2007","4,136.08","4,059.19","4,167.59","4,006.47","1.48B","1.22%"
"11/19/2007","4,086.38","4,141.20","4,155.69","4,066.75","1.14B","-1.14%"
"11/16/2007","4,133.35","4,124.42","4,163.96","4,066.54","902.80M","-1.63%"
"11/15/2007","4,201.79","4,227.75","4,269.76","4,190.73","1.34B","-1.07%"
"11/14/2007","4,247.16","4,142.52","4,249.40","4,063.51","1.70B","4.32%"
"11/13/2007","4,071.30","4,145.53","4,206.45","4,006.06","1.85B","-0.88%"
"11/12/2007","4,107.34","4,025.83","4,143.32","3,951.33","1.99B","-0.78%"
"11/09/2007","4,139.57","4,110.22","4,198.25","4,058.88","1.78B","-0.37%"
"11/08/2007","4,154.97","4,353.19","4,353.19","4,150.97","1.73B","-5.22%"
"11/07/2007","4,383.63","4,367.62","4,400.62","4,276.76","1.44B","0.89%"
"11/06/2007","4,344.89","4,371.91","4,428.32","4,324.23","1.38B","-1.50%"
"11/05/2007","4,410.97","4,517.23","4,547.89","4,389.49","1.81B","-2.91%"
"11/02/2007","4,543.16","4,536.22","4,599.39","4,500.49","2.35B","-1.39%"
"11/01/2007","4,607.22","4,648.69","4,668.73","4,602.51","2.52B","-0.44%"
"10/31/2007","4,627.78","4,652.96","4,667.32","4,564.66","2.44B","0.77%"
"10/30/2007","4,592.33","4,538.11","4,593.34","4,476.28","2.02B","1.44%"
"10/29/2007","4,527.12","4,453.33","4,534.71","4,451.91","1.78B","2.19%"
"10/26/2007","4,429.98","4,321.68","4,460.65","4,313.80","1.55B","1.51%"
"10/25/2007","4,364.12","4,511.51","4,534.40","4,352.94","2.35B","-4.10%"
"10/24/2007","4,550.56","4,496.51","4,598.89","4,486.68","2.32B","1.68%"
